id,public_id,company_id,lh_id,profile_url,name,logo,type,phone,website,tagline,staff_count,staff_count_range_start,staff_count_range_end,follower_count,description,founded_on,headquarter_country,headquarter_city,headquarter_province,headquarter_line1,headquarter_line2,headquarter_postal_code,industries,specialities,tags
kangmei-pharmaceutical-co-ltd,kangmei-pharmaceutical-co-ltd,3996977,13,https://www.linkedin.com/company/kangmei-pharmaceutical-co-ltd/,"Kangmei Pharmaceutical Co.,Ltd",https://media-exp1.licdn.com/dms/image/C560BAQHaEKdq3X_b1Q/company-logo_400_400/0/1519894730051?e=1621468800&v=beta&t=WIuq1sGLtDmZfd3zn3Kh8UZIWwDxFuPbG4aEaUVJvWU,PUBLIC_COMPANY,,http://www.kangmei.com.cn,,917,,1,1714,"Kangmei Pharma is a pharmaceuticals company based out of Shenzhen, GNG, China.",,CN,Shenzhen,GD,,,,Pharmaceuticals,,
salubris-pharmaceuticals,salubris-pharmaceuticals,1125406,14,https://www.linkedin.com/company/salubris-pharmaceuticals/,"Shenzhen Salubris Pharmaceuticals Co.,LTD",https://media-exp1.licdn.com/dms/image/C4E0BAQFHi9wIVXLJfw/company-logo_400_400/0/1519899241367?e=1621468800&v=beta&t=xs-ake-HbGyIHoskO1SIeW23uETEixxymgxQP5slT_Q,PUBLIC_COMPANY,,http://www.salubris.cn,,534,1001,5000,2830,"Salubris is a global integrated pharmaceutical group dedicated to the research, development, manufacture, marketing, distribution, and service of professional pharmaceutical and healthcare products to bring healthier and happier life to people worldwide through world-leading quality and innovations.   Shenzhen Salubris Pharmaceuticals Co., Ltd. is a professional pharmaceutical enterprise rooted in China and devoted to improving health worldwide. The company focuses on the newest generation of innovative and specialty medicine, and is an international organization possessing and continuously developing state-of-the-art technologies and products, and has been recognized as an advanced technology enterprise and innovative high-tech company.   The company has a team of high-caliber management, R&D, and marketing professionals. It has nationally approved modern GMP pharmaceutical manufacturing facilities, advanced equipment s and testing instruments, producing tablet, capsule, and injection formulations and active pharmaceutical ingredients, with subsidiary branches and marketing network throughout the country.",1998,CN,Shenzhen,GD,"37F, Tower B, NEO Building, No.6009 Shennan Road",,518040,Pharmaceuticals,"RX for Cardiovascular,Interventional medical device,antibiotics,Bio-pharmaceutical",
dong-a-pharmaceutical-co.-ltd,dong-a-pharmaceutical-co.-ltd,2062743,15,https://www.linkedin.com/company/dong-a-pharmaceutical-co.-ltd/,"Dong-A Pharmaceutical Co.,Ltd",https://media-exp1.licdn.com/dms/image/C510BAQEvO84lc3RYPg/company-logo_400_400/0/1519897740593?e=1621468800&v=beta&t=S-fz3qu7mz93iQHrVQvjRjK10ADAjCVUjBCjxycmNgQ,PUBLIC_COMPANY,,http://www.donga.co.kr,,306,1001,5000,2749,"Dong-A Pharmaceutical Co., Ltd.  Established in 1932,  Dong-A Pharm. has been the leading pharmaceutical company in South Korea with its business focus in developing, manufacturing and distributing innovative products for the healthier life of our society.  Headquartered in South Korea, Dong-A Pharm. employs over 2,300 people worldwide.  Business portfolio:  ETC, OTC + Bacchus (Energy Drink), Diagnostic & Medical Equipment, Bio-technology etc.  For more information, please visit our website:  www.donga.co.kr",1932,KR,Seoul,,"252, Yongdu-dong, Dongdaemun-gu,",,,Pharmaceuticals,"R&D,Manufacture,Distribution,Bio-technology",
aohua-endoscopy-co-ltd,aohua-endoscopy-co-ltd,5804609,17,https://www.linkedin.com/company/aohua-endoscopy-co-ltd/,"Aohua Endoscopy Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C560BAQEiDJzLX9udJA/company-logo_400_400/0/1539765489385?e=1621468800&v=beta&t=MwBsK8KIJMoC3aAmS2yUqLfy2hs-iBt0ywnvK0tbmq0,PARTNERSHIP,4009-210-114,http://www.aohua.com/en,Become the world’s leading provider of  overall endoscopic solutions.,66,501,1000,2953,"Aohua  Endoscopy Co., Ltd. was originally incorporated in 1994, a globally-renowned medical endoscope manufacturing company with products consisting of video endoscopy system, endoscopy peripheral equipment, endoscopic diagnosis and treatment device etc.  After 20-plus years of concentration and innovation, Aohua products have been distributed among GI Department, Respiration Department, E.N.T. Department, Emergency Room, Gynecology Department and more.",1994,CN,Shanghai,SH,"No.66, Alley 133, GuangZhong Road, MinHang District",,201108,Medical Device,"Flexible Endoscope, GI, pulmonology, ENT, Emergency Room, Gynecology and more.",
klarity-medical-&-equipment-co-ltd-,klarity-medical-&-equipment-co-ltd-,3832736,18,https://www.linkedin.com/company/klarity-medical-&-equipment-co-ltd-/,"Klarity Medical & Equipment Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C4D0BAQHd6PlkW0oz6A/company-logo_400_400/0/1519863668211?e=1621468800&v=beta&t=CWgNqifIJUhmhPvrvNrGl0iwL6PWF4QcFGLb2KoB8Sc,PUBLIC_COMPANY,,https://www.klarity-medical.com/en/,Better Products for Better Care.,33,201,500,1038,"With offices in China and USA, Klarity Medical manufactures and distributes a variety of products serving the needs of radiation therapists, occupational therapists, hand therapists, and other medical specialists. All items are manufactured at our state-of-the-art facility in Guangzhou, China, using the finest ingredients and materials from suppliers throughout the world.  All items are produced with strict ISO 13485 certification and in compliance with all FDA, CE and other international regulations.",2000,CN,Guangzhou,GD,"No. 14, 3rd Street Shawan, GETDD",,510730,Medical Device,"radiation oncology,patient positioning and immobilization,physical rehabilitation,low temperature thermoplastic,thermoplastic mask,splinting material",
tasly-pharmaceutica-group-co-ltd-,tasly-pharmaceutica-group-co-ltd-,9183532,19,https://www.linkedin.com/company/tasly-pharmaceutica-group-co-ltd-/,"Tasly Pharmaceutica Group Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C510BAQHBLhNIkMqXNQ/company-logo_400_400/0/1519863118684?e=1621468800&v=beta&t=i_ThPXnNNHRXC1NuaqbDKdTKm-FjgOgnjVvQ5ee5mh8,PUBLIC_COMPANY,,http://www.tasly.com,,768,,1,1608,"Tasly Pharma is a pharmaceuticals company based out of TIANJIN. Tasly Pharma representatives, don’t miss out on opportunities to build relationships with members on LinkedIn. Claim your page, write a simple description, and share content to attract followers that can lead to new customers, brand fans, and future employees. Go here to get started: http://linkd.in/1DUpBvu",,CN,Tianjin,TJ,,,,Pharmaceuticals,,
联医医疗科技（北京）有限公司,联医医疗科技（北京）有限公司,7594616,20,https://www.linkedin.com/company/联医医疗科技（北京）有限公司/,"LyncMed Medical Technology Co.,Ltd",https://media-exp1.licdn.com/dms/image/C510BAQF5KJnaFp2Rcg/company-logo_400_400/0/1519892270759?e=1621468800&v=beta&t=7IxnT0HXXR5Glmv4ZD2zJgUvtDM9Dj6YZmBHvkHKUNo,PRIVATELY_HELD,,http://www.lyncmed.com,"Glocal linker, Healthcare better, Dream maker, Win together.",94,51,200,2393,"LyncMed is a medical consumables company providing a digital platform for manufacturers and retailers or customers, essentially linking both sides of the supply chain. We uniquely provide a uniform space for retailers or individual customers to directly communicate with manufacturers so that the process of selling and purchasing medical supplies is cost and time efficient for both parties. LyncMed is the provider of this communication platform and our highly efficient supply chain allows the process of communication to be easy for both the manufacturer and the retailer.  In the past 3 years LyncMed has already established overseas branches in the USA (LA, CA), Italy, Spain, Portugal, Turkey, Germany and Mexico. We have built overseas warehouses in these countries, thus, we are able to locally source products and meet customer demands as soon as possible. The whole order process is so efficient that our customers can expect to receive products as early as 24 hours from placing an order.  Our efficiency stems from the 10 product lines we have, each run by a highly dedicated professional team. The ultimate mission is to provide high quality healthcare products at the lowest cost possible for our customers.  Facebook: https://www.facebook.com/LyncMed/ Twitter: https://twitter.com/LyncMed1 Youtube: https://www.youtube.com/channel/UC_l80WM93hHClYym6VM0ndw",2015,CN,Beijing,BJ,北京市朝阳区通惠河1001号,,100000,Medical Device,"Healthcare,Medical Disposables,Medical Consumables,Nitrile Gloves,Non-woven products,Dental,Woundcare,Infection control Apparel",
Beijing-aeonmed-ltd.,Beijing-aeonmed-ltd.,1777127,21,https://www.linkedin.com/company/Beijing-aeonmed-ltd./,"Beijing Aeonmed Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C4D0BAQFQy0PHeXGE-Q/company-logo_400_400/0/1600392843680?e=1621468800&v=beta&t=25TErD0IYSJDUYR6MIfPCNIevmGmm1XzXmz54DX3EQs,PRIVATELY_HELD,,http://www.aeonmed.com/english.php,The Expert of OR & ICU,211,1001,5000,1841,"Beijing AEONMED CO., LTD. is a leading OR and ICU equipment manufacturer and medical system solutions supplier.   Production line are covered : 1. - Anesthesia and operation support ( anesthesia machine, operating table, surgical lights, patient monitor)                                                           2. - Emergency and critical care ( ventilator, infusion pump, syringe pump)                                            3. - Medical system solution (Laminar flow, environment configuration ,centralizes gas supply, process quality control, information integration.) 4. - Medical engineering equipment (ceiling pendant/supply beam, regional gas supply system, gas engineering components)  In 2008, one anesthesia machine designed and made by Aeonmed was successfully launched in the US market which made a breaking through for the Chinese anesthesia manufacturers. So far Aeonmed's products have been sold to more than 120 areas and countries, and 61 products have received the CE certificate.  We are proud that one of our emergency ventilator, Shangrila 510, was selected among almost the most famous brand around world as standby support for emergency use on every event spot, the total number was 175 units. In June 2013, Aeonmed’s intensive care ventilator gains the access to the US market. It is milestone of ventilator business developing in China. Independent innovation built Aeonmed's competitive ability. To date, over 800 patents have been approved or applied, including over 500 invention patents. Aeonmed maintaining a substantial annual increase of more than 100 patents. ""Reliable Quality, Thoughtful Service” is Aeonmed’s commitment to customers”, and “Guard life sincerely""​ is the sacred mission of Aeonmed.   Facing the future, Aeonmed people are working enthusiastically towards company's vision – to be ""the Operating Expert of OR & ICU""​.",2001,CN,Beijing,BJ,"HQs Add: No.4 Hangfeng Road, Fengtai Science Park, Fengtai District, Beijing, China 100070","Operation Center Add: No. 10, Chaobai Street, Yanjiao Development Zone, Sanhe City, Hebei Province, China 065201",100070,Medical Device,,
wondfo,wondfo,6982224,24,https://www.linkedin.com/company/wondfo/,"Guangzhou Wondfo Biotech Co.,Ltd.",https://media-exp1.licdn.com/dms/image/C510BAQEB3btTHSncUw/company-logo_400_400/0/1585729757714?e=1621468800&v=beta&t=ZXA5jUP6tm-tuRzMRJP3RNWJpBSSPKof7cqIyta0o_I,PUBLIC_COMPANY,,http://en.wondfo.com.cn/,Racing for life !,128,1001,5000,1880,"Founded in 1992 and listed in 2015, Wondfo is a fast-growing biotechnology company in China. Wondfo mainly focuses on rapid diagnostics in China but is looking for further development in other areas of the healthcare industry.   Besides the headquarter in Guangzhou, Wondfo also owns 2 overseas labs, 1 branch in Chicago, and 11 overseas offices. After many years’ efforts in delivering high-quality products and services, Wondfo has won a good reputation around the world. In production, Wondfo strictly complies with national and international regulations and standards. We have got CE certificates, FDA certificates, FSC certificates, ISO 9001:2008, and ISO 13485:2012 quality system certification.   Wondfo attaches great importance to research and development and sees innovation as the soul of the enterprise’s development. So far, Wondfo has 530+ highly-qualified researchers and over 30% of the staff have obtained master's and doctorate degrees from prestigious universities worldwide. Wondfo also has built R&D laboratories in Guangzhou and San Diego.   With our advanced production lines and highly experienced staff, Wondfo’s daily production capacity of test kits reaches 1.5 million. Wondfo also provides a number of customized services to professional distributors and partnering affiliates.   Wondfo provides high-quality products at a very competitive price, together with professional technical support and counseling service. Currently, Wondfo has customers in more than 120 countries and areas.  It is our commitment to safeguarding the health and improving lives with better products, services, and solutions. With more than 3000 dedicated employees, we'll continue to innovate and shape the future of POCT and healthcare.",1992,CN,Guangzhou,GD,"No.8 Lizhishan Road, Science City, Huangpu District, Guangzhou, China",,,Medical Device,"Point of Care Tests,Rapid diagnosis,Medical & Health",
orient-europharma-co.-ltd,orient-europharma-co.-ltd,529624,25,https://www.linkedin.com/company/orient-europharma-co.-ltd/,"Orient Europharma Co.,Ltd",https://media-exp1.licdn.com/dms/image/C510BAQFy66UI0aJNvA/company-logo_400_400/0/1519878207639?e=1621468800&v=beta&t=iRMOvauCK-R5uQY3USojbQUcfxL4tX-2igkSHMx4S2M,PUBLIC_COMPANY,,http://www.oepgroup.com,,194,501,1000,1613,"Orient Europharma. Co., Ltd. Headquartered in Taipei, Taiwan, is a specialty pharmaceutical company focused in commercialization of our partner’s product. Our current partners in the region includes the following: Almirall, Chiesi, Elan, Pfizer, Kissei, NaonCarrier, Pierre Fabre, , Recordati, Q-med & UCB.  In 2010, We stands among top 30 pharmaceutical companies in both Taiwan and Philippines based on IMS survey. Our sales turnover was over $125 million U.S. dollars, and our business incorporates not only sales, also the manufacturing (with two large manufacturing plants), marketing, and distribution of ethical and OTC products.   With Subsidiaries across Hong Kong, Malaysia, Singapore, Philippines and a strong sales network of 360 dedicated and experienced sales representatives, we have the ability and expertise to introduce our partners’ product in the South East Asia Region.   Orient Europharma. Co. is a fully-integrated research, production and sales organization. Our key of success lays on our employee’s enthusiasm and professionalism who took pride in their in day to day work knowing their contribution makes a difference to patients.",1982,TW,Taipei,,"7F, No 368, Sec 1, Fu Hsing South Road",,105,Pharmaceuticals,Commercialization marketing,
